User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (min/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
2,OnePlus 9,Android,268,282.0,1331,42,944,47,Female,3
5,iPhone 12,iOS,187,258.0,1367,58,988,31,Female,3
7,Samsung Galaxy S21,Android,350,438.0,1802,66,1054,21,Female,4
9,Samsung Galaxy S21,Android,340,462.0,2138,75,1053,42,Female,4
11,Google Pixel 5,Android,53,84.0,435,17,162,34,Female,1
13,OnePlus 9,Android,462,372.0,2303,65,1099,57,Female,4
15,iPhone 12,iOS,189,324.0,1754,53,779,49,Female,3
16,Google Pixel 5,Android,503,624.0,2571,84,2025,39,Female,5
17,OnePlus 9,Android,132,216.0,628,32,344,47,Female,2
18,iPhone 12,iOS,299,348.0,1431,41,985,44,Female,3
19,Google Pixel 5,Android,81,84.0,558,16,297,26,Female,1
20,iPhone 12,iOS,577,510.0,2774,89,2192,29,Female,5
21,Samsung Galaxy S21,Android,93,156.0,681,37,302,45,Female,2
22,OnePlus 9,Android,576,696.0,2803,82,1553,43,Female,5
23,Samsung Galaxy S21,Android,423,390.0,2094,65,1372,23,Female,4
24,Google Pixel 5,Android,292,336.0,1401,46,949,37,Female,3
29,OnePlus 9,Android,452,408.0,2387,77,1456,55,Female,4
30,Samsung Galaxy S21,Android,412,372.0,1899,78,1384,19,Female,4
31,Xiaomi Mi 11,Android,260,360.0,1361,44,889,37,Female,3
35,Xiaomi Mi 11,Android,593,612.0,2499,81,1616,38,Female,5
36,Samsung Galaxy S21,Android,32,72.0,580,19,153,20,Female,1
41,Xiaomi Mi 11,Android,240,282.0,1464,52,708,56,Female,3
45,Xiaomi Mi 11,Android,138,144.0,837,21,572,56,Female,2
47,OnePlus 9,Android,558,504.0,2447,97,1594,22,Female,5
48,Samsung Galaxy S21,Android,138,216.0,889,25,323,27,Female,2
51,Xiaomi Mi 11,Android,452,444.0,2180,61,1417,54,Female,4
53,Samsung Galaxy S21,Android,125,162.0,690,28,393,27,Female,2
55,Google Pixel 5,Android,516,522.0,2857,83,2189,53,Female,5
57,OnePlus 9,Android,64,66.0,572,10,161,42,Female,1
61,Xiaomi Mi 11,Android,522,714.0,2798,85,1663,28,Female,5
62,Xiaomi Mi 11,Android,309,450.0,2292,77,1253,57,Female,4
64,Xiaomi Mi 11,Android,545,690.0,2911,87,1717,21,Female,5
68,Xiaomi Mi 11,Android,134,240.0,773,35,449,28,Female,2
70,Google Pixel 5,Android,82,102.0,558,16,284,29,Female,1
71,Samsung Galaxy S21,Android,452,432.0,1808,64,1090,45,Female,4
74,Xiaomi Mi 11,Android,31,66.0,585,11,208,50,Female,1
76,Xiaomi Mi 11,Android,229,342.0,1305,43,985,23,Female,3
77,Xiaomi Mi 11,Android,34,120.0,558,14,122,54,Female,1
78,Google Pixel 5,Android,173,150.0,678,29,301,30,Female,2
79,Samsung Galaxy S21,Android,78,108.0,333,17,138,51,Female,1
80,Google Pixel 5,Android,230,342.0,1254,52,989,34,Female,3
81,OnePlus 9,Android,565,636.0,2475,99,1603,51,Female,5
83,Xiaomi Mi 11,Android,330,432.0,2363,77,1133,21,Female,4
85,Google Pixel 5,Android,223,270.0,1311,56,695,33,Female,3
89,Xiaomi Mi 11,Android,137,198.0,839,31,348,34,Female,2
91,Google Pixel 5,Android,116,126.0,912,39,307,40,Female,2
92,Google Pixel 5,Android,291,245.99999999999997,1474,46,827,32,Female,3
93,iPhone 12,iOS,84,84.0,501,16,284,56,Female,1
98,OnePlus 9,Android,516,720.0,2406,82,1968,28,Female,5
99,Google Pixel 5,Android,59,72.0,361,18,293,25,Female,1
100,OnePlus 9,Android,225,330.0,1526,44,875,50,Female,3
103,Google Pixel 5,Android,174,150.0,929,37,565,32,Female,2
108,Google Pixel 5,Android,54,84.0,403,17,278,23,Female,1
109,Xiaomi Mi 11,Android,187,330.0,1754,55,711,50,Female,3
110,OnePlus 9,Android,216,360.0,1641,41,889,39,Female,3
111,OnePlus 9,Android,95,228.0,718,26,459,41,Female,2
113,Google Pixel 5,Android,295,306.0,1483,45,748,27,Female,3
115,Xiaomi Mi 11,Android,471,474.0,2156,76,1324,54,Female,4
118,iPhone 12,iOS,220,312.0,1631,49,909,27,Female,3
119,Samsung Galaxy S21,Android,82,96.0,590,13,124,28,Female,1
121,Samsung Galaxy S21,Android,388,396.0,2085,71,1150,45,Female,4
122,OnePlus 9,Android,529,522.0,2484,89,2189,39,Female,5
123,Google Pixel 5,Android,584,600.0,2541,99,2391,49,Female,5
127,iPhone 12,iOS,332,444.0,2149,68,1321,20,Female,4
128,Google Pixel 5,Android,252,252.0,1439,45,667,50,Female,3
130,Xiaomi Mi 11,Android,97,198.0,751,39,412,36,Female,2
132,Xiaomi Mi 11,Android,320,432.0,2056,69,1226,52,Female,4
133,Google Pixel 5,Android,176,216.0,1193,30,458,40,Female,2
136,iPhone 12,iOS,555,678.0,2528,90,1856,55,Female,5
138,Xiaomi Mi 11,Android,237,270.0,1368,42,868,24,Female,3
141,Xiaomi Mi 11,Android,219,312.0,1510,42,655,50,Female,3
143,iPhone 12,iOS,156,132.0,896,37,429,57,Female,2
145,iPhone 12,iOS,524,672.0,2417,90,2069,29,Female,5
152,Samsung Galaxy S21,Android,42,96.0,315,19,207,52,Female,1
153,Google Pixel 5,Android,120,120.0,741,38,396,56,Female,2
154,OnePlus 9,Android,329,450.0,2277,72,1185,27,Female,4
155,Xiaomi Mi 11,Android,68,90.0,364,10,102,31,Female,1
161,Samsung Galaxy S21,Android,64,96.0,540,19,262,35,Female,1
165,Xiaomi Mi 11,Android,278,288.0,1238,48,851,43,Female,3
166,Xiaomi Mi 11,Android,540,504.0,2993,98,1540,49,Female,5
169,Google Pixel 5,Android,225,324.0,1370,44,791,55,Female,3
173,OnePlus 9,Android,153,168.0,935,25,578,37,Female,2
174,iPhone 12,iOS,368,396.0,1817,72,1406,27,Female,4
175,Xiaomi Mi 11,Android,51,96.0,509,11,113,29,Female,1
176,Google Pixel 5,Android,279,312.0,1660,47,629,50,Female,3
178,Samsung Galaxy S21,Android,193,342.0,1471,51,972,31,Female,3
183,iPhone 12,iOS,544,552.0,2936,83,2416,47,Female,5
184,iPhone 12,iOS,73,72.0,308,15,275,39,Female,1
185,Xiaomi Mi 11,Android,597,624.0,2984,91,1564,34,Female,5
187,iPhone 12,iOS,402,468.0,2014,79,1088,34,Female,4
189,iPhone 12,iOS,130,120.0,602,21,589,30,Female,2
190,Samsung Galaxy S21,Android,42,66.0,402,11,265,32,Female,1
193,iPhone 12,iOS,432,432.0,1822,63,1127,59,Female,4
195,Samsung Galaxy S21,Android,473,384.0,2109,79,1300,23,Female,4
196,Google Pixel 5,Android,202,282.0,1512,49,659,45,Female,3
198,OnePlus 9,Android,151,222.0,1116,32,320,41,Female,2
200,Xiaomi Mi 11,Android,126,168.0,971,32,431,35,Female,2
201,Samsung Galaxy S21,Android,495,534.0,2920,84,2252,31,Female,5
202,iPhone 12,iOS,127,222.0,1153,35,314,37,Female,2
207,Google Pixel 5,Android,78,102.0,455,15,207,37,Female,1
210,Google Pixel 5,Android,278,276.0,1385,47,823,40,Female,3
211,Samsung Galaxy S21,Android,451,366.0,2108,76,1434,25,Female,4
215,iPhone 12,iOS,152,198.0,1175,29,461,42,Female,2
219,iPhone 12,iOS,499,576.0,2873,81,1805,52,Female,5
223,Xiaomi Mi 11,Android,351,366.0,1941,79,1290,21,Female,4
224,Samsung Galaxy S21,Android,532,642.0,2556,83,2148,53,Female,5
226,Xiaomi Mi 11,Android,511,648.0,2712,97,2438,59,Female,5
228,iPhone 12,iOS,193,312.0,1318,49,626,32,Female,3
234,OnePlus 9,Android,129,204.0,1059,27,580,36,Female,2
236,Xiaomi Mi 11,Android,37,84.0,369,18,295,19,Female,1
237,Samsung Galaxy S21,Android,524,534.0,2549,88,1730,20,Female,5
238,OnePlus 9,Android,425,414.0,2142,66,1130,19,Female,4
240,iPhone 12,iOS,573,648.0,2711,96,2118,33,Female,5
241,Google Pixel 5,Android,45,102.0,302,16,191,57,Female,1
242,Xiaomi Mi 11,Android,564,702.0,2764,81,2133,37,Female,5
249,Xiaomi Mi 11,Android,168,240.0,866,22,581,50,Female,2
250,Google Pixel 5,Android,75,114.0,537,13,230,58,Female,1
251,OnePlus 9,Android,42,84.0,324,13,272,29,Female,1
252,OnePlus 9,Android,441,474.0,2332,78,1477,23,Female,4
254,Xiaomi Mi 11,Android,100,144.0,982,31,478,48,Female,2
255,OnePlus 9,Android,52,72.0,398,14,172,24,Female,1
256,OnePlus 9,Android,397,420.0,2352,77,1101,46,Female,4
258,Xiaomi Mi 11,Android,272,300.0,1655,45,686,19,Female,3
260,Xiaomi Mi 11,Android,570,540.0,2613,98,2497,49,Female,5
261,Xiaomi Mi 11,Android,64,78.0,490,14,151,43,Female,1
262,iPhone 12,iOS,334,396.0,2394,68,1227,46,Female,4
263,iPhone 12,iOS,518,576.0,2954,93,2125,34,Female,5
265,iPhone 12,iOS,334,408.0,2000,77,1079,40,Female,4
267,iPhone 12,iOS,181,245.99999999999997,1608,43,752,22,Female,3
271,Xiaomi Mi 11,Android,426,390.0,1969,78,1266,53,Female,4
273,Google Pixel 5,Android,105,132.0,1002,29,453,31,Female,2
277,Xiaomi Mi 11,Android,269,354.0,1666,42,629,32,Female,3
280,Samsung Galaxy S21,Android,411,468.0,2029,75,1136,33,Female,4
282,Xiaomi Mi 11,Android,39,102.0,530,11,268,26,Female,1
284,Google Pixel 5,Android,49,78.0,542,16,169,54,Female,1
287,Samsung Galaxy S21,Android,314,444.0,2136,64,1376,47,Female,4
288,Xiaomi Mi 11,Android,211,240.0,1519,54,811,29,Female,3
293,Google Pixel 5,Android,59,108.0,497,10,208,36,Female,1
294,Xiaomi Mi 11,Android,226,270.0,1781,45,649,27,Female,3
297,OnePlus 9,Android,458,396.0,2214,67,1163,31,Female,4
298,iPhone 12,iOS,170,162.0,805,26,344,53,Female,2
300,Xiaomi Mi 11,Android,122,198.0,748,35,499,59,Female,2
302,iPhone 12,iOS,267,264.0,1505,59,971,38,Female,3
303,iPhone 12,iOS,469,360.0,2290,67,1086,34,Female,4
304,iPhone 12,iOS,541,684.0,2443,89,1923,34,Female,5
305,iPhone 12,iOS,155,174.0,1117,22,322,19,Female,2
308,OnePlus 9,Android,410,450.0,2176,68,1213,45,Female,4
309,iPhone 12,iOS,285,306.0,1226,57,666,20,Female,3
311,Samsung Galaxy S21,Android,230,252.0,1507,51,868,25,Female,3
312,iPhone 12,iOS,341,432.0,2397,68,1055,32,Female,4
314,Xiaomi Mi 11,Android,130,180.0,820,21,308,49,Female,2
316,OnePlus 9,Android,74,120.0,320,11,103,55,Female,1
317,OnePlus 9,Android,299,258.0,1737,43,953,42,Female,3
318,Google Pixel 5,Android,116,132.0,827,29,434,28,Female,2
319,OnePlus 9,Android,408,396.0,2026,63,1076,47,Female,4
321,iPhone 12,iOS,227,264.0,1275,56,984,22,Female,3
322,Google Pixel 5,Android,274,360.0,1489,56,666,57,Female,3
323,Google Pixel 5,Android,347,378.0,2001,61,1456,21,Female,4
324,Xiaomi Mi 11,Android,76,78.0,490,14,156,31,Female,1
326,OnePlus 9,Android,203,258.0,1554,54,638,25,Female,3
328,OnePlus 9,Android,48,120.0,574,18,127,24,Female,1
329,OnePlus 9,Android,88,96.0,420,12,274,31,Female,1
330,iPhone 12,iOS,541,498.00000000000006,2865,89,1820,42,Female,5
331,Google Pixel 5,Android,233,276.0,1534,49,796,21,Female,3
332,iPhone 12,iOS,176,228.0,727,36,362,47,Female,2
334,Google Pixel 5,Android,461,450.0,2001,69,1324,34,Female,4
335,Samsung Galaxy S21,Android,37,90.0,375,18,246,46,Female,1
336,OnePlus 9,Android,531,588.0,2905,99,1632,45,Female,5
342,iPhone 12,iOS,597,618.0,2718,90,1863,26,Female,5
344,iPhone 12,iOS,290,360.0,1533,54,645,57,Female,3
346,iPhone 12,iOS,308,462.0,1974,73,1431,37,Female,4
347,OnePlus 9,Android,156,198.0,1020,38,447,57,Female,2
352,Google Pixel 5,Android,60,90.0,593,14,281,35,Female,1
353,Google Pixel 5,Android,225,276.0,1230,52,954,20,Female,3
354,Samsung Galaxy S21,Android,379,450.0,1823,68,1075,53,Female,4
355,OnePlus 9,Android,53,84.0,455,14,106,54,Female,1
357,iPhone 12,iOS,291,245.99999999999997,1326,51,905,55,Female,3
358,iPhone 12,iOS,488,570.0,2840,92,1986,48,Female,5
359,Google Pixel 5,Android,74,120.0,366,13,253,44,Female,1
360,Samsung Galaxy S21,Android,230,276.0,1325,55,845,54,Female,3
363,Xiaomi Mi 11,Android,78,90.0,341,11,259,38,Female,1
367,Xiaomi Mi 11,Android,516,696.0,2464,82,1767,29,Female,5
