User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (min/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
1,Google Pixel 5,Android,393,384.0,1872,67,1122,40,Male,4
3,Xiaomi Mi 11,Android,154,240.0,761,32,322,42,Male,2
4,Google Pixel 5,Android,239,288.0,1676,56,871,20,Male,3
6,Google Pixel 5,Android,99,120.0,940,35,564,31,Male,2
8,OnePlus 9,Android,543,684.0,2956,82,1702,31,Male,5
10,iPhone 12,iOS,424,396.0,1957,75,1301,42,Male,4
12,OnePlus 9,Android,215,330.0,1690,47,641,24,Male,3
14,Xiaomi Mi 11,Android,215,294.0,1662,43,857,43,Male,3
25,OnePlus 9,Android,216,240.0,1711,59,748,58,Male,3
26,Samsung Galaxy S21,Android,91,204.0,1073,38,451,52,Male,2
27,iPhone 12,iOS,444,456.0,2372,77,1002,29,Male,4
28,Google Pixel 5,Android,512,630.0,2409,89,1599,33,Male,5
32,Xiaomi Mi 11,Android,197,276.0,1660,59,975,25,Male,3
33,Google Pixel 5,Android,278,282.0,1484,55,917,21,Male,3
34,Google Pixel 5,Android,46,120.0,457,14,105,58,Male,1
37,iPhone 12,iOS,122,198.0,755,30,573,26,Male,2
38,Samsung Galaxy S21,Android,522,672.0,2808,93,2328,24,Male,5
39,OnePlus 9,Android,473,384.0,2312,74,1400,40,Male,4
40,Samsung Galaxy S21,Android,398,372.0,1851,77,1180,23,Male,4
42,OnePlus 9,Android,576,606.0,2447,83,2323,33,Male,5
43,Samsung Galaxy S21,Android,120,126.0,720,39,392,43,Male,2
44,Samsung Galaxy S21,Android,152,222.0,993,32,429,18,Male,2
46,Xiaomi Mi 11,Android,502,654.0,2476,96,1935,39,Male,5
49,Google Pixel 5,Android,580,491.99999999999994,2623,90,2262,49,Male,5
50,OnePlus 9,Android,589,522.0,2736,82,1997,49,Male,5
52,Xiaomi Mi 11,Android,245,354.0,1243,52,885,29,Male,3
54,Xiaomi Mi 11,Android,97,132.0,1101,38,375,53,Male,2
56,iPhone 12,iOS,68,96.0,450,14,111,30,Male,1
58,OnePlus 9,Android,539,504.0,2796,89,2415,26,Male,5
59,Xiaomi Mi 11,Android,428,420.0,2306,75,1144,22,Male,4
60,iPhone 12,iOS,325,426.0,2269,64,1053,56,Male,4
63,Xiaomi Mi 11,Android,79,114.0,493,14,128,55,Male,1
65,Samsung Galaxy S21,Android,459,420.0,1982,67,1091,43,Male,4
66,iPhone 12,iOS,225,240.0,1420,48,917,56,Male,3
67,iPhone 12,iOS,257,270.0,1705,57,912,55,Male,3
69,iPhone 12,iOS,516,612.0,2932,98,1547,31,Male,5
72,iPhone 12,iOS,521,540.0,2902,97,1701,37,Male,5
73,Google Pixel 5,Android,457,378.0,2347,66,1082,22,Male,4
75,iPhone 12,iOS,47,120.0,476,14,125,39,Male,1
82,iPhone 12,iOS,172,168.0,1035,22,549,41,Male,2
84,Xiaomi Mi 11,Android,39,108.0,368,11,105,19,Male,1
86,Google Pixel 5,Android,404,444.0,2081,63,1352,44,Male,4
87,Samsung Galaxy S21,Android,151,144.0,1003,25,392,39,Male,2
88,Samsung Galaxy S21,Android,34,90.0,345,11,276,44,Male,1
90,Samsung Galaxy S21,Android,301,372.0,2053,75,1303,45,Male,4
94,iPhone 12,iOS,134,150.0,1125,24,367,35,Male,2
95,Samsung Galaxy S21,Android,411,450.0,2169,72,1083,58,Male,4
96,Xiaomi Mi 11,Android,326,432.0,2243,73,1454,50,Male,4
97,iPhone 12,iOS,550,570.0,2916,91,1946,20,Male,5
101,Google Pixel 5,Android,41,66.0,389,15,136,53,Male,1
102,OnePlus 9,Android,183,245.99999999999997,1210,45,738,19,Male,3
104,Xiaomi Mi 11,Android,274,252.0,1781,52,934,28,Male,3
105,Xiaomi Mi 11,Android,166,168.0,1113,28,360,25,Male,2
106,Xiaomi Mi 11,Android,66,72.0,585,12,264,36,Male,1
107,Google Pixel 5,Android,152,162.0,642,38,596,55,Male,2
112,Xiaomi Mi 11,Android,488,516.0,2447,84,2344,19,Male,5
114,Samsung Galaxy S21,Android,136,192.0,818,33,404,42,Male,2
116,iPhone 12,iOS,121,192.0,651,34,596,39,Male,2
117,iPhone 12,iOS,75,72.0,409,13,281,18,Male,1
120,Google Pixel 5,Android,97,162.0,1018,37,428,41,Male,2
124,Google Pixel 5,Android,529,486.0,2686,96,1924,35,Male,5
125,Google Pixel 5,Android,227,306.0,1702,57,714,21,Male,3
126,Samsung Galaxy S21,Android,535,708.0,2858,99,2378,50,Male,5
129,Xiaomi Mi 11,Android,125,150.0,678,34,465,31,Male,2
131,Google Pixel 5,Android,540,648.0,2923,90,1886,40,Male,5
134,Samsung Galaxy S21,Android,79,60.0,313,18,139,42,Male,1
135,Xiaomi Mi 11,Android,83,96.0,303,19,285,51,Male,1
137,Samsung Galaxy S21,Android,66,102.0,375,16,216,39,Male,1
139,Samsung Galaxy S21,Android,497,582.0,2876,94,2076,18,Male,5
140,Google Pixel 5,Android,516,666.0,2429,91,1796,53,Male,5
142,Google Pixel 5,Android,448,378.0,2044,71,1337,51,Male,4
144,Samsung Galaxy S21,Android,68,66.0,528,12,201,29,Male,1
146,iPhone 12,iOS,188,318.0,1281,45,974,35,Male,3
147,Samsung Galaxy S21,Android,443,444.0,2289,73,1026,33,Male,4
148,Xiaomi Mi 11,Android,52,96.0,385,19,234,24,Male,1
149,OnePlus 9,Android,228,252.0,1677,58,823,56,Male,3
150,Google Pixel 5,Android,149,222.0,873,34,459,51,Male,2
151,iPhone 12,iOS,523,564.0,2583,92,1539,21,Male,5
156,Xiaomi Mi 11,Android,158,204.0,893,36,493,32,Male,2
157,Xiaomi Mi 11,Android,86,102.0,439,19,136,54,Male,1
158,Xiaomi Mi 11,Android,339,468.0,2102,71,1062,51,Male,4
159,Samsung Galaxy S21,Android,304,390.0,2375,79,1493,51,Male,4
160,Xiaomi Mi 11,Android,131,144.0,859,26,305,40,Male,2
162,Xiaomi Mi 11,Android,53,114.0,526,15,112,42,Male,1
163,Google Pixel 5,Android,442,462.0,2067,69,1440,45,Male,4
